X,Y
0.5,[-0.31158355]
0.5,[-0.30403268]
0.5,[-0.310897]
0.5,[-0.3272521]
0.5,[-0.34312057]
0.5,[-0.33512503]
0.5,[-0.35866696]
0.5,[-0.3498963]
0.5,[-0.37421197]
0.5,[-0.35688925]
0.5,[-0.34452865]
0.5,[-0.3845273]
0.5,[-0.40145943]
0.5,[-0.37075394]
0.5,[-0.41626891]
0.5,[-0.38419962]
0.5,[-0.4317235]
0.5,[-0.4037839]
0.5,[-0.38849616]
0.5,[-0.44728574]
0.5,[-0.4544092]
0.5,[-0.4220085]
0.5,[-0.45110032]
0.5,[-0.4187001]
0.5,[-0.44779286]
0.5,[-0.41539264]
0.5,[-0.38256687]
0.5,[-0.44448447]
0.5,[-0.44157273]
0.5,[-0.41234338]
0.5,[-0.4420048]
0.5,[-0.412775]
0.5,[-0.43235692]
0.5,[-0.41316]
0.5,[-0.37634298]
0.5,[-0.40968755]
0.5,[-0.37704727]
0.5,[-0.35968167]
0.5,[-0.34410217]
0.5,[-0.33268172]
0.5,[-0.32260644]
0.5,[-0.31148008]
0.5,[-0.2791386]
0.5,[-0.30139035]
0.5,[-0.2801752]
0.5,[-0.26904932]
0.5,[-0.24783324]
0.5,[-0.25801247]
0.5,[-0.23611027]
0.5,[-0.32121512]
0.5,[-0.3835457]
0.5,[-0.38630036]
0.5,[-0.35704818]
0.5,[-0.3305423]
0.5,[-0.28049168]
0.5,[-0.28848675]
0.5,[-0.2944594]
0.5,[-0.04441466]
0.5,[-0.04548902]
0.5,[-0.04689199]
0.5,[-0.04858721]
0.5,[-0.0503104]
0.5,[-0.05247451]
0.5,[-0.05463909]
0.5,[-0.05680321]
0.5,[-0.05800669]
0.5,[-0.05770558]
0.5,[-0.05746088]
0.5,[-0.05721664]
0.5,[-0.05697101]
0.5,[-0.0567263]
0.5,[-0.05648207]
0.5,[-0.05757042]
0.5,[-0.05947958]
0.5,[-0.06303082]
0.5,[-0.06681091]
0.5,[-0.07305203]
0.5,[-0.0793887]
0.5,[-0.08404088]
0.5,[-0.0879128]
0.5,[-0.09233798]
0.5,[-0.09711646]
0.5,[-0.10189589]
0.5,[-0.10663616]
0.5,[-0.11092197]
0.5,[-0.11688156]
0.5,[-0.12353239]
0.5,[-0.13018322]
0.5,[-0.13683358]
0.5,[-0.14348486]
0.5,[-0.15013522]
0.5,[-0.1631875]
0.5,[-0.17741205]
0.5,[-0.18840742]
0.5,[-0.19940186]
0.5,[-0.2101749]
0.5,[-0.22091764]
0.5,[-0.23154199]
0.5,[-0.24144621]
0.5,[-0.25132155]
0.5,[-0.2603938]
0.5,[-0.2694651]
0.5,[-0.27853546]
0.5,[-0.28682324]
0.5,[-0.29003748]
0.5,[-0.29025096]
0.5,[-0.28984872]
0.5,[-0.289446]
0.5,[-0.29053995]
0.5,[-0.2922347]
0.5,[-0.29392943]
0.5,[-0.29562464]
0.5,[-0.29266864]
0.5,[-0.28770137]
0.5,[-0.28097925]
0.5,[-0.27332303]
0.5,[-0.2656682]
0.5,[-0.03799502]
0.5,[-0.04256423]
0.5,[-0.04713297]
0.5,[-0.05170171]
0.5,[-0.05627045]
0.5,[-0.0606989]
0.5,[-0.06448692]
0.5,[-0.06827541]
0.5,[-0.07206342]
0.5,[-0.07585238]
0.5,[-0.0796404]
0.5,[-0.08342842]
0.5,[-0.08765131]
0.5,[-0.09169056]
0.5,[-0.08963551]
0.5,[-0.08758093]
0.5,[-0.08552588]
0.5,[-0.0834713]
0.5,[-0.08395092]
0.5,[-0.08717915]
0.5,[-0.09311124]
0.5,[-0.09677621]
0.5,[-0.10302293]
0.5,[-0.10927057]
0.5,[-0.11551775]
