X,Y
0.92,[-0.42468533]
0.92,[-0.41810396]
0.92,[-0.44372284]
0.92,[-0.47615942]
0.92,[-0.50859696]
0.92,[-0.48070952]
0.92,[-0.54058605]
0.92,[-0.5131461]
0.92,[-0.5697231]
0.92,[-0.54209155]
0.92,[-0.5400654]
0.92,[-0.59849006]
0.92,[-0.6353238]
0.92,[-0.60548437]
0.92,[-0.66920257]
0.92,[-0.63137174]
0.92,[-0.68707293]
0.92,[-0.6455627]
0.92,[-0.60484445]
0.92,[-0.69543576]
0.92,[-0.69446766]
0.92,[-0.6531551]
0.92,[-0.7006822]
0.92,[-0.6584034]
0.92,[-0.69278413]
0.92,[-0.65050435]
0.92,[-0.5962005]
0.92,[-0.6842833]
0.92,[-0.67170787]
0.92,[-0.62581253]
0.92,[-0.6567921]
0.92,[-0.6140966]
0.92,[-0.6404482]
0.92,[-0.60269475]
0.92,[-0.5452322]
0.92,[-0.60790205]
0.92,[-0.56955904]
0.92,[-0.5440515]
0.92,[-0.5312169]
0.92,[-0.5057085]
0.92,[-0.49287343]
0.92,[-0.46736547]
0.92,[-0.41581866]
0.92,[-0.4545313]
0.92,[-0.423734]
0.92,[-0.41237417]
0.92,[-0.39482352]
0.92,[-0.40457484]
0.92,[-0.3850717]
0.92,[-0.48020056]
0.92,[-0.5738202]
0.92,[-0.61612415]
0.92,[-0.5898611]
0.92,[-0.48525918]
0.92,[-0.3651197]
0.92,[-0.3863078]
0.92,[-0.40767026]
0.92,[-0.09219022]
0.92,[-0.09879258]
0.92,[-0.10934795]
0.92,[-0.11257291]
0.92,[-0.11815496]
0.92,[-0.12543549]
0.92,[-0.13271509]
0.92,[-0.13999562]
0.92,[-0.14727661]
0.92,[-0.15556394]
0.92,[-0.16467485]
0.92,[-0.17508478]
0.92,[-0.18549381]
0.92,[-0.1942146]
0.92,[-0.20229496]
0.92,[-0.21037579]
0.92,[-0.21845661]
0.92,[-0.22653697]
0.92,[-0.232807]
0.92,[-0.23645751]
0.92,[-0.24007727]
0.92,[-0.24363364]
0.92,[-0.24718909]
0.92,[-0.25074545]
0.92,[-0.2543009]
0.92,[-0.25785726]
0.92,[-0.26141363]
0.92,[-0.26598328]
0.92,[-0.27137378]
0.92,[-0.27600357]
0.92,[-0.27833784]
0.92,[-0.28067207]
0.92,[-0.2849607]
0.92,[-0.29111138]
0.92,[-0.3007816]
0.92,[-0.30943528]
0.92,[-0.3177543]
0.92,[-0.32607332]
0.92,[-0.3343923]
0.92,[-0.3459992]
0.92,[-0.36016595]
0.92,[-0.37433362]
