X,Y
1.0,[-0.45352733]
1.0,[-0.45313442]
1.0,[-0.48095563]
1.0,[-0.51345795]
1.0,[-0.545895]
1.0,[-0.51721567]
1.0,[-0.57833153]
1.0,[-0.54756224]
1.0,[-0.6147617]
1.0,[-0.58328575]
1.0,[-0.590598]
1.0,[-0.6535317]
1.0,[-0.68938994]
1.0,[-0.6590657]
1.0,[-0.72048134]
1.0,[-0.6776544]
1.0,[-0.735145]
1.0,[-0.6896766]
1.0,[-0.6395043]
1.0,[-0.73843426]
1.0,[-0.73511934]
1.0,[-0.6884531]
1.0,[-0.7391255]
1.0,[-0.69306284]
1.0,[-0.7242638]
1.0,[-0.67755467]
1.0,[-0.61437994]
1.0,[-0.70779824]
1.0,[-0.6923935]
1.0,[-0.64555293]
1.0,[-0.67742413]
1.0,[-0.6312804]
1.0,[-0.6610644]
1.0,[-0.61996156]
1.0,[-0.564341]
1.0,[-0.62951106]
1.0,[-0.59116757]
1.0,[-0.56565964]
1.0,[-0.552825]
1.0,[-0.52731705]
1.0,[-0.51448244]
1.0,[-0.488974]
1.0,[-0.43776232]
1.0,[-0.47613984]
1.0,[-0.44713566]
1.0,[-0.43480536]
1.0,[-0.41868564]
1.0,[-0.43184793]
1.0,[-0.40575877]
1.0,[-0.50180954]
1.0,[-0.5904857]
1.0,[-0.64699835]
1.0,[-0.6320765]
1.0,[-0.51677567]
1.0,[-0.38219258]
1.0,[-0.4162815]
1.0,[-0.44796625]
1.0,[-0.09378989]
1.0,[-0.10031766]
1.0,[-0.10843205]
1.0,[-0.11710623]
1.0,[-0.12438676]
1.0,[-0.13166729]
1.0,[-0.13894781]
1.0,[-0.14622788]
1.0,[-0.15350889]
1.0,[-0.16078848]
1.0,[-0.168069]
1.0,[-0.17563853]
1.0,[-0.18416168]
1.0,[-0.19091739]
1.0,[-0.19767308]
1.0,[-0.20442972]
1.0,[-0.20950651]
1.0,[-0.21418199]
1.0,[-0.22038488]
1.0,[-0.22658919]
1.0,[-0.23279302]
1.0,[-0.23899685]
1.0,[-0.24520023]
1.0,[-0.2514036]
1.0,[-0.25752306]
1.0,[-0.26337823]
1.0,[-0.2692339]
1.0,[-0.27508816]
1.0,[-0.28094473]
1.0,[-0.28664333]
1.0,[-0.29176393]
1.0,[-0.29688546]
1.0,[-0.30200607]
1.0,[-0.30987343]
1.0,[-0.3188282]
1.0,[-0.32778203]
1.0,[-0.33636254]
1.0,[-0.34892726]
1.0,[-0.36249694]
1.0,[-0.37606567]
1.0,[-0.38963532]
1.0,[-0.40320498]
1.0,[-0.41677323]
1.0,[-0.43025482]
1.0,[-0.44272214]
1.0,[-0.45184657]
1.0,[-0.459431]
1.0,[-0.46489]
1.0,[-0.47034946]
1.0,[-0.47555256]
1.0,[-0.4787123]
1.0,[-0.47835943]
1.0,[-0.47497693]
1.0,[-0.47159395]
1.0,[-0.46821144]
1.0,[-0.46482846]
1.0,[-0.46144643]
1.0,[-0.45796183]
1.0,[-0.45264453]
1.0,[-0.44369116]
1.0,[-0.10013542]
1.0,[-0.11425088]
1.0,[-0.12456948]
1.0,[-0.12141815]
1.0,[-0.11513741]
1.0,[-0.10991146]
1.0,[-0.12032887]
1.0,[-0.13598481]
1.0,[-0.1488017]
1.0,[-0.15710719]
1.0,[-0.16541222]
1.0,[-0.1737177]
1.0,[-0.1820232]
1.0,[-0.18976144]
1.0,[-0.1968504]
1.0,[-0.2039389]
1.0,[-0.20770036]
1.0,[-0.20883438]
1.0,[-0.20996794]
1.0,[-0.20763789]
1.0,[-0.20496713]
1.0,[-0.20229682]
1.0,[-0.19962512]
1.0,[-0.20852302]
1.0,[-0.21800822]
1.0,[-0.22749388]
1.0,[-0.23697908]
1.0,[-0.24646524]
1.0,[-0.2559509]
1.0,[-0.26543608]
1.0,[-0.27449387]
1.0,[-0.2833009]
1.0,[-0.29246214]
1.0,[-0.3016248]
1.0,[-0.3140637]
1.0,[-0.32844856]
1.0,[-0.34365797]
1.0,[-0.3618579]
1.0,[-0.38170177]
1.0,[-0.4005566]
1.0,[-0.4172039]
1.0,[-0.43357345]
1.0,[-0.44410786]
1.0,[-0.45464224]
1.0,[-0.46517617]
1.0,[-0.47571057]
1.0,[-0.485963]
1.0,[-0.49382102]
1.0,[-0.5016786]
1.0,[-0.5095366]
1.0,[-0.5173937]
1.0,[-0.5218263]
1.0,[-0.5248024]
1.0,[-0.5253212]
1.0,[-0.5252839]
1.0,[-0.52524614]
1.0,[-0.52520883]
1.0,[-0.503309]
1.0,[-0.47563833]
1.0,[-0.09748329]
1.0,[-0.10117763]
1.0,[-0.10576501]
1.0,[-0.11683402]
1.0,[-0.13876231]
1.0,[-0.1604114]
1.0,[-0.1820605]
1.0,[-0.20323601]
1.0,[-0.22200087]
1.0,[-0.23096916]
1.0,[-0.23993744]
1.0,[-0.24715926]
1.0,[-0.23758969]
1.0,[-0.2260541]
1.0,[-0.21541063]
1.0,[-0.19650084]
1.0,[-0.18145968]
1.0,[-0.16641854]
1.0,[-0.14951484]
1.0,[-0.13504188]
1.0,[-0.12056798]
1.0,[-0.10604327]
1.0,[-0.09397913]
1.0,[-0.0868319]
1.0,[-0.08982335]
1.0,[-0.09551959]
1.0,[-0.09353074]
1.0,[-0.10280619]
1.0,[-0.10853832]
1.0,[-0.11581885]
1.0,[-0.10725048]
1.0,[-0.13037898]
1.0,[-0.13766044]
1.0,[-0.14494005]
1.0,[-0.13637213]
1.0,[-0.1595011]
1.0,[-0.16678117]
1.0,[-0.1740617]
1.0,[-0.16549379]
1.0,[-0.19001174]
1.0,[-0.19394799]
1.0,[-0.19694036]
1.0,[-0.18159671]
1.0,[-0.20811099]
1.0,[-0.2143139]
1.0,[-0.22051819]
1.0,[-0.20413513]
1.0,[-0.23292585]
1.0,[-0.23908354]
1.0,[-0.24493875]
1.0,[-0.21716365]
1.0,[-0.25040987]
1.0,[-0.25410092]
1.0,[-0.25922108]
1.0,[-0.24197245]
1.0,[-0.27082938]
1.0,[-0.2817441]
1.0,[-0.29069796]
1.0,[-0.2803206]
1.0,[-0.30860564]
1.0,[-0.3175604]
1.0,[-0.32567617]
1.0,[-0.31498984]
1.0,[-0.34851477]
1.0,[-0.3620835]
1.0,[-0.37565315]
1.0,[-0.36167052]
1.0,[-0.402792]
1.0,[-0.4163612]
1.0,[-0.42909187]
1.0,[-0.40402904]
1.0,[-0.44239354]
1.0,[-0.44765815]
1.0,[-0.45248607]
1.0,[-0.42760316]
1.0,[-0.45561826]
1.0,[-0.45223528]
1.0,[-0.44885325]
1.0,[-0.42272958]
1.0,[-0.44208822]
1.0,[-0.43870527]
1.0,[-0.43532273]
1.0,[-0.40931138]
1.0,[-0.425955]
1.0,[-0.41487575]
1.0,[-0.40367016]
1.0,[-0.372355]
1.0,[-0.16954935]
1.0,[-0.14331055]
1.0,[-0.1482876]
1.0,[-0.2137555]
1.0,[-0.25266534]
1.0,[-0.21474597]
1.0,[-0.24241012]
1.0,[-0.2812039]
1.0,[-0.26932245]
1.0,[-0.31108576]
1.0,[-0.23147534]
1.0,[-0.33147916]
1.0,[-0.29631543]
1.0,[-0.34421405]
1.0,[-0.31171545]
1.0,[-0.35419983]
1.0,[-0.32613948]
1.0,[-0.3642015]
1.0,[-0.2948677]
1.0,[-0.37296933]
1.0,[-0.33444032]
1.0,[-0.37091848]
1.0,[-0.31771097]
1.0,[-0.35617563]
1.0,[-0.2956862]
1.0,[-0.3371316]
1.0,[-0.21147066]
1.0,[-0.31899834]
1.0,[-0.23780875]
1.0,[-0.29246262]
1.0,[-0.20949438]
1.0,[-0.2641473]
1.0,[-0.23115699]
1.0,[-0.17708763]
1.0,[-0.19863045]
1.0,[-0.11572377]
1.0,[-0.13406307]
1.0,[-0.17926434]
1.0,[-0.3166352]
1.0,[-0.37280062]
1.0,[-0.4095039]
1.0,[-0.44154894]
1.0,[-0.43234575]
1.0,[-0.49650297]
1.0,[-0.4965412]
1.0,[-0.49638876]
1.0,[-0.46557564]
1.0,[-0.49505338]
1.0,[-0.48947415]
1.0,[-0.48093653]
1.0,[-0.43207213]
1.0,[-0.46485132]
1.0,[-0.45728785]
1.0,[-0.45198452]
1.0,[-0.40856004]
1.0,[-0.43504494]
1.0,[-0.4245101]
1.0,[-0.4139752]
1.0,[-0.36601183]
1.0,[-0.38630083]
1.0,[-0.36755276]
1.0,[-0.34781283]
1.0,[-0.30195573]
1.0,[-0.307081]
1.0,[-0.29288957]
1.0,[-0.28372738]
1.0,[-0.25939447]
1.0,[-0.26540253]
1.0,[-0.25701594]
1.0,[-0.24912295]
1.0,[-0.22782342]
1.0,[-0.23333742]
1.0,[-0.2254449]
1.0,[-0.21719255]
1.0,[-0.19625193]
1.0,[-0.20017745]
1.0,[-0.19079852]
1.0,[-0.18585224]
1.0,[-0.17671663]
1.0,[-0.18902034]
1.0,[-0.19085446]
1.0,[-0.18955868]
1.0,[-0.16536841]
1.0,[-0.18569982]
1.0,[-0.18039277]
1.0,[-0.17508572]
1.0,[-0.14398453]
1.0,[-0.16142797]
1.0,[-0.15312295]
1.0,[-0.14481746]
1.0,[-0.1111471]
1.0,[-0.12697457]
1.0,[-0.11024985]
1.0,[-0.11192875]
1.0,[-0.09471231]
1.0,[-0.1038167]
1.0,[-0.11024147]
1.0,[-0.11339325]
1.0,[-0.10371602]
1.0,[-0.09979376]
1.0,[-0.08649071]
1.0,[-0.0731872]
1.0,[-0.07129156]
1.0,[-0.08006641]
1.0,[-0.07962316]
1.0,[-0.1051917]
1.0,[-0.12013637]
1.0,[-0.13565853]
1.0,[-0.12932838]
1.0,[-0.16008933]
1.0,[-0.17513001]
1.0,[-0.18957222]
1.0,[-0.18023103]
1.0,[-0.21535704]
