X,Y
10.000000000000005,[-0.393435]
11.0,[-0.3913366]
11.0,[-0.41406238]
10.000000000000005,[-0.43840975]
9.000000000000002,[-0.46257252]
9.000000000000002,[-0.4400849]
7.999999999999998,[-0.4890635]
7.999999999999998,[-0.4642477]
7.000000000000003,[-0.51562905]
7.000000000000003,[-0.48870274]
5.999999999999999,[-0.49008518]
5.999999999999999,[-0.54219365]
5.000000000000004,[-0.5687592]
5.000000000000004,[-0.54183286]
4.000000000000001,[-0.5931308]
4.000000000000001,[-0.5659304]
2.999999999999998,[-0.6179941]
2.999999999999998,[-0.58285135]
2.0000000000000027,[-0.55961704]
2.0000000000000027,[-0.6345562]
0.9999999999999992,[-0.64096415]
0.9999999999999992,[-0.60550535]
0.0,[-0.64730364]
0.0,[-0.60718894]
-0.9999999999999992,[-0.6391203]
-0.9999999999999992,[-0.5978697]
-1.9999999999999984,[-0.5519902]
-1.9999999999999984,[-0.62980145]
-2.999999999999998,[-0.6201513]
-2.999999999999998,[-0.58106756]
-4.000000000000001,[-0.60984945]
-4.000000000000001,[-0.57365793]
-5.0,[-0.5984425]
-5.0,[-0.56624925]
-5.999999999999999,[-0.51434726]
-5.999999999999999,[-0.5657118]
-6.999999999999998,[-0.5292938]
-6.999999999999998,[-0.5060497]
-7.999999999999998,[-0.49111667]
-7.999999999999998,[-0.4676773]
-9.000000000000002,[-0.4531661]
-9.000000000000002,[-0.42972672]
-10.0,[-0.38935146]
-10.0,[-0.4120959]
-11.0,[-0.38662383]
-11.0,[-0.37640357]
-11.999999999999998,[-0.35068074]
-11.999999999999998,[-0.36328045]
-11.999999999999998,[-0.33955768]
-7.999999999999998,[-0.4442379]
-4.000000000000001,[-0.537466]
0.0,[-0.56593835]
4.000000000000001,[-0.53086036]
7.999999999999998,[-0.4417601]
11.999999999999995,[-0.34340397]
11.999999999999995,[-0.36321706]
11.999999999999995,[-0.3854884]
-11.999999999999998,[-0.08092311]
-11.999999999999998,[-0.08671258]
-11.999999999999998,[-0.09611714]
-11.999999999999998,[-0.09795778]
-11.999999999999998,[-0.09767486]
-11.999999999999998,[-0.09763524]
-11.999999999999998,[-0.09962643]
