X,Y
10.000000000000005,[-0.42142913]
11.0,[-0.4148501]
11.0,[-0.4390609]
10.000000000000005,[-0.47149792]
9.000000000000002,[-0.5039345]
9.000000000000002,[-0.47604802]
7.999999999999998,[-0.53504735]
7.999999999999998,[-0.5076885]
7.000000000000003,[-0.5641266]
7.000000000000003,[-0.53620845]
5.999999999999999,[-0.5347971]
5.999999999999999,[-0.5918299]
5.000000000000004,[-0.62767464]
5.000000000000004,[-0.59844995]
4.000000000000001,[-0.66213644]
4.000000000000001,[-0.62511575]
2.999999999999998,[-0.6808183]
2.999999999999998,[-0.6393081]
2.0000000000000027,[-0.5995234]
2.0000000000000027,[-0.6896682]
0.9999999999999992,[-0.6891471]
0.9999999999999992,[-0.64783454]
0.0,[-0.69535464]
0.0,[-0.6530763]
-0.9999999999999992,[-0.68745655]
-0.9999999999999992,[-0.64517725]
-1.9999999999999984,[-0.59319323]
-1.9999999999999984,[-0.67914313]
-2.999999999999998,[-0.66844374]
-2.999999999999998,[-0.6225489]
-4.000000000000001,[-0.6535289]
-4.000000000000001,[-0.6110893]
-5.0,[-0.6374633]
-5.0,[-0.6005362]
-5.999999999999999,[-0.5428434]
-5.999999999999999,[-0.605201]
-6.999999999999998,[-0.5668584]
-6.999999999999998,[-0.5413505]
-7.999999999999998,[-0.5285154]
-7.999999999999998,[-0.5030079]
-9.000000000000002,[-0.49017283]
-9.000000000000002,[-0.46466488]
-10.0,[-0.41289338]
-10.0,[-0.45183024]
-11.0,[-0.42080876]
-11.0,[-0.40944842]
-11.999999999999998,[-0.39089614]
-11.999999999999998,[-0.40064794]
-11.999999999999998,[-0.38114432]
-7.999999999999998,[-0.47749993]
-4.000000000000001,[-0.5712151]
0.0,[-0.6107961]
4.000000000000001,[-0.5836055]
7.999999999999998,[-0.48043734]
11.999999999999995,[-0.36309588]
11.999999999999995,[-0.38457018]
11.999999999999995,[-0.40511227]
-11.999999999999998,[-0.09185137]
-11.999999999999998,[-0.0986094]
-11.999999999999998,[-0.1094393]
-11.999999999999998,[-0.11273605]
-11.999999999999998,[-0.11737563]
-11.999999999999998,[-0.12465617]
-11.999999999999998,[-0.13193624]
-11.999999999999998,[-0.13921677]
-11.999999999999998,[-0.1464973]
-11.999999999999998,[-0.15530011]
-11.999999999999998,[-0.16444552]
-11.999999999999998,[-0.17252588]
-11.999999999999998,[-0.18060718]
-11.999999999999998,[-0.18868755]
-11.999999999999998,[-0.19676743]
-11.999999999999998,[-0.20484827]
-11.999999999999998,[-0.2129291]
-11.999999999999998,[-0.221009]
-11.999999999999998,[-0.22902177]
-11.999999999999998,[-0.23267183]
-11.999999999999998,[-0.23626688]
-11.999999999999998,[-0.23982278]
-11.999999999999998,[-0.24337822]
-11.999999999999998,[-0.2469346]
-11.999999999999998,[-0.25049096]
-11.999999999999998,[-0.2540464]
-11.999999999999998,[-0.25760275]
-11.999999999999998,[-0.26262316]
-11.999999999999998,[-0.2680127]
-11.999999999999998,[-0.2729222]
-11.999999999999998,[-0.27525595]
-11.999999999999998,[-0.27759066]
-11.999999999999998,[-0.2822596]
-11.999999999999998,[-0.28840986]
-11.999999999999998,[-0.2978643]
-11.999999999999998,[-0.30693418]
-11.999999999999998,[-0.3152532]
-11.999999999999998,[-0.32357174]
-11.999999999999998,[-0.33189073]
-11.999999999999998,[-0.3418481]
-11.999999999999998,[-0.35601485]
-11.999999999999998,[-0.37018156]
-11.999999999999998,[-0.38382116]
-11.999999999999998,[-0.39709485]
-11.999999999999998,[-0.41036806]
-11.999999999999998,[-0.42365152]
-11.999999999999998,[-0.4361347]
-11.999999999999998,[-0.4482492]
-11.999999999999998,[-0.45961604]
-11.999999999999998,[-0.46567723]
-11.999999999999998,[-0.4621134]
-11.999999999999998,[-0.4572403]
-11.999999999999998,[-0.45236674]
-11.999999999999998,[-0.4474927]
-11.999999999999998,[-0.4426196]
-11.999999999999998,[-0.4379371]
-11.999999999999998,[-0.4353316]
-11.999999999999998,[-0.432727]
-11.999999999999998,[-0.4201506]
-11.999999999999998,[-0.41039973]
11.999999999999995,[-0.0879897]
11.999999999999995,[-0.10223055]
11.999999999999995,[-0.09861778]
11.999999999999995,[-0.09500595]
11.999999999999995,[-0.08960102]
11.999999999999995,[-0.10628984]
11.999999999999995,[-0.12229769]
11.999999999999995,[-0.13830647]
11.999999999999995,[-0.14596081]
11.999999999999995,[-0.15334249]
11.999999999999995,[-0.16072509]
11.999999999999995,[-0.16810676]
11.999999999999995,[-0.1754889]
11.999999999999995,[-0.18209872]
11.999999999999995,[-0.18841395]
11.999999999999995,[-0.19472778]
11.999999999999995,[-0.20104161]
11.999999999999995,[-0.20735684]
11.999999999999995,[-0.2136716]
11.999999999999995,[-0.21828556]
11.999999999999995,[-0.21941958]
11.999999999999995,[-0.22923292]
11.999999999999995,[-0.23906536]
11.999999999999995,[-0.24889782]
11.999999999999995,[-0.25831312]
11.999999999999995,[-0.26744312]
11.999999999999995,[-0.27657315]
11.999999999999995,[-0.28700548]
11.999999999999995,[-0.29827073]
11.999999999999995,[-0.30638373]
11.999999999999995,[-0.3127064]
11.999999999999995,[-0.31902862]
11.999999999999995,[-0.32473373]
11.999999999999995,[-0.33097252]
11.999999999999995,[-0.33762893]
11.999999999999995,[-0.34428534]
11.999999999999995,[-0.35094178]
11.999999999999995,[-0.3575977]
11.999999999999995,[-0.3633774]
11.999999999999995,[-0.37391227]
11.999999999999995,[-0.38444665]
11.999999999999995,[-0.39498153]
11.999999999999995,[-0.4055159]
11.999999999999995,[-0.41604984]
11.999999999999995,[-0.42658424]
11.999999999999995,[-0.4333488]
11.999999999999995,[-0.43865213]
11.999999999999995,[-0.44395545]
11.999999999999995,[-0.449104]
11.999999999999995,[-0.45334694]
11.999999999999995,[-0.46049044]
11.999999999999995,[-0.4630172]
11.999999999999995,[-0.46538967]
11.999999999999995,[-0.47067526]
11.999999999999995,[-0.4718946]
11.999999999999995,[-0.4718573]
11.999999999999995,[-0.47182003]
11.999999999999995,[-0.46164685]
11.999999999999995,[-0.4339757]
-11.0,[-0.09617447]
-10.0,[-0.09971499]
-9.000000000000002,[-0.10646883]
-7.999999999999998,[-0.11703072]
-6.999999999999998,[-0.1308036]
-5.999999999999999,[-0.15204112]
-5.0,[-0.17343758]
-4.000000000000001,[-0.19483498]
-2.999999999999998,[-0.21067642]
-1.9999999999999984,[-0.21980272]
-0.9999999999999992,[-0.22891085]
0.0,[-0.23788007]
0.9999999999999992,[-0.22748783]
2.0000000000000027,[-0.2140044]
2.999999999999998,[-0.19896372]
4.000000000000001,[-0.18392211]
5.000000000000004,[-0.16888095]
5.999999999999999,[-0.15384075]
7.000000000000003,[-0.13913007]
7.999999999999998,[-0.12360743]
9.000000000000002,[-0.10808481]
10.000000000000005,[-0.09205785]
11.0,[-0.08273905]
11.999999999999995,[-0.0755839]
-12.999999999999998,[-0.0892617]
-12.999999999999998,[-0.09495794]
-14.000000000000002,[-0.09491133]
-12.999999999999998,[-0.10482628]
-12.999999999999998,[-0.10669069]
-12.999999999999998,[-0.10880773]
-14.000000000000002,[-0.10209445]
