X,Y
0.85,[-0.4076791]
0.85,[-0.40147528]
0.85,[-0.42406264]
0.85,[-0.45324767]
0.85,[-0.4811952]
0.85,[-0.45604056]
0.85,[-0.50814855]
0.85,[-0.4809794]
0.85,[-0.53510237]
0.85,[-0.5079327]
0.85,[-0.5077165]
0.85,[-0.56205475]
0.85,[-0.5890081]
0.85,[-0.56183946]
0.85,[-0.62018013]
0.85,[-0.59035236]
0.85,[-0.6423965]
0.85,[-0.6071549]
0.85,[-0.5735354]
0.85,[-0.6567837]
0.85,[-0.65983665]
0.85,[-0.61963016]
0.85,[-0.6646189]
0.85,[-0.62324244]
0.85,[-0.65581375]
0.85,[-0.61443824]
0.85,[-0.5679384]
0.85,[-0.64759356]
0.85,[-0.6387735]
0.85,[-0.59782165]
0.85,[-0.6292412]
0.85,[-0.5916532]
0.85,[-0.6185292]
0.85,[-0.5820599]
0.85,[-0.5248439]
0.85,[-0.5835561]
0.85,[-0.54651254]
0.85,[-0.52197224]
0.85,[-0.5096671]
0.85,[-0.48512587]
0.85,[-0.47160792]
0.85,[-0.44623655]
0.85,[-0.39682728]
0.85,[-0.43255734]
0.85,[-0.39924172]
0.85,[-0.38957706]
0.85,[-0.3686798]
0.85,[-0.3783449]
0.85,[-0.35619476]
0.85,[-0.45991528]
0.85,[-0.55317414]
0.85,[-0.5818665]
0.85,[-0.5542345]
0.85,[-0.45785695]
0.85,[-0.34972057]
0.85,[-0.3723084]
0.85,[-0.3947028]
0.85,[-0.0855366]
0.85,[-0.09137501]
0.85,[-0.10135148]
0.85,[-0.10422221]
0.85,[-0.10550259]
0.85,[-0.10655738]
0.85,[-0.10755857]
0.85,[-0.10946027]
0.85,[-0.11512017]
0.85,[-0.12320006]
0.85,[-0.13128088]
0.85,[-0.13936172]
0.85,[-0.14744209]
0.85,[-0.15552245]
0.85,[-0.16360281]
0.85,[-0.17168318]
0.85,[-0.17976354]
0.85,[-0.18784437]
0.85,[-0.19590841]
0.85,[-0.20389415]
0.85,[-0.21187943]
0.85,[-0.21695857]
0.85,[-0.22051492]
0.85,[-0.2240713]
0.85,[-0.22762719]
0.85,[-0.2316767]
0.85,[-0.23706625]
0.85,[-0.24245673]
