X,Y
10.000000000000005,[-0.36749077]
11.0,[-0.36581558]
11.0,[-0.38830227]
10.000000000000005,[-0.4124655]
9.000000000000002,[-0.4366283]
9.000000000000002,[-0.41414115]
7.999999999999998,[-0.46079016]
7.999999999999998,[-0.438303]
7.000000000000003,[-0.48638573]
7.000000000000003,[-0.46246532]
5.999999999999999,[-0.4641405]
5.999999999999999,[-0.51295173]
5.000000000000004,[-0.5394842]
5.000000000000004,[-0.51259005]
4.000000000000001,[-0.5637556]
4.000000000000001,[-0.53268516]
2.999999999999998,[-0.58378494]
2.999999999999998,[-0.5487149]
2.0000000000000027,[-0.5318499]
2.0000000000000027,[-0.6008099]
0.9999999999999992,[-0.6114286]
0.9999999999999992,[-0.576352]
0.0,[-0.6144886]
0.0,[-0.5788508]
-0.9999999999999992,[-0.6092151]
-0.9999999999999992,[-0.5735773]
-1.9999999999999984,[-0.52901924]
-1.9999999999999984,[-0.6039416]
-2.999999999999998,[-0.5964737]
-2.999999999999998,[-0.5587832]
-4.000000000000001,[-0.58756554]
-4.000000000000001,[-0.5513745]
-5.0,[-0.57479525]
-5.0,[-0.54396534]
-5.999999999999999,[-0.4919198]
-5.999999999999999,[-0.54034185]
-6.999999999999998,[-0.5050079]
-6.999999999999998,[-0.48446864]
-7.999999999999998,[-0.46967453]
-7.999999999999998,[-0.44913432]
-9.000000000000002,[-0.4359776]
-9.000000000000002,[-0.4150785]
-10.0,[-0.37037826]
-10.0,[-0.3965644]
-11.0,[-0.37072226]
-11.0,[-0.36055842]
-11.999999999999998,[-0.33759165]
-11.999999999999998,[-0.3480277]
-11.999999999999998,[-0.32715607]
-7.999999999999998,[-0.42859456]
-4.000000000000001,[-0.5151825]
0.0,[-0.5419289]
4.000000000000001,[-0.49810076]
7.999999999999998,[-0.41581586]
11.999999999999995,[-0.3374891]
11.999999999999995,[-0.34477195]
11.999999999999995,[-0.36361697]
-11.999999999999998,[-0.06851405]
-11.999999999999998,[-0.07612132]
-11.999999999999998,[-0.08688131]
-11.999999999999998,[-0.091107]
-11.999999999999998,[-0.09206484]
-11.999999999999998,[-0.09166446]
-11.999999999999998,[-0.09180941]
-11.999999999999998,[-0.09247734]
-11.999999999999998,[-0.09477756]
-11.999999999999998,[-0.09707871]
-11.999999999999998,[-0.09937986]
-11.999999999999998,[-0.10168102]
-11.999999999999998,[-0.10398217]
-11.999999999999998,[-0.10602976]
-11.999999999999998,[-0.11385563]
-11.999999999999998,[-0.12193599]
-11.999999999999998,[-0.12996602]
-11.999999999999998,[-0.13795176]
-11.999999999999998,[-0.14593704]
-11.999999999999998,[-0.15392278]
-11.999999999999998,[-0.16190898]
-11.999999999999998,[-0.16989474]
-11.999999999999998,[-0.17788048]
-11.999999999999998,[-0.18673877]
-11.999999999999998,[-0.196038]
-11.999999999999998,[-0.20142753]
-11.999999999999998,[-0.20545048]
-11.999999999999998,[-0.20939557]
-11.999999999999998,[-0.2133416]
-11.999999999999998,[-0.21728669]
-11.999999999999998,[-0.22155993]
-11.999999999999998,[-0.22852072]
-11.999999999999998,[-0.23612332]
-11.999999999999998,[-0.24642561]
-11.999999999999998,[-0.25672743]
-11.999999999999998,[-0.26703018]
-11.999999999999998,[-0.27733245]
-11.999999999999998,[-0.2867948]
-11.999999999999998,[-0.29576215]
-11.999999999999998,[-0.3047286]
-11.999999999999998,[-0.3136964]
-11.999999999999998,[-0.32202289]
-11.999999999999998,[-0.3299513]
-11.999999999999998,[-0.33826703]
-11.999999999999998,[-0.35091054]
-11.999999999999998,[-0.3629938]
-11.999999999999998,[-0.3742171]
-11.999999999999998,[-0.38544038]
-11.999999999999998,[-0.39587924]
-11.999999999999998,[-0.39842415]
-11.999999999999998,[-0.3998891]
-11.999999999999998,[-0.40135315]
