X,Y
10.000000000000005,[-0.43937737]
11.0,[-0.4344847]
11.0,[-0.4623721]
10.000000000000005,[-0.49480867]
9.000000000000002,[-0.5272453]
9.000000000000002,[-0.49935925]
7.999999999999998,[-0.55968183]
7.999999999999998,[-0.5317954]
7.000000000000003,[-0.59187835]
7.000000000000003,[-0.5629007]
5.999999999999999,[-0.5671749]
5.999999999999999,[-0.62782145]
5.000000000000004,[-0.66368014]
5.000000000000004,[-0.633356]
4.000000000000001,[-0.697454]
4.000000000000001,[-0.6563903]
2.999999999999998,[-0.712092]
2.999999999999998,[-0.67058223]
2.0000000000000027,[-0.62693024]
2.0000000000000027,[-0.7185046]
0.9999999999999992,[-0.7158208]
0.9999999999999992,[-0.6744388]
0.0,[-0.72199243]
0.0,[-0.67971367]
-0.9999999999999992,[-0.71409434]
-0.9999999999999992,[-0.6686968]
-1.9999999999999984,[-0.60629684]
-1.9999999999999984,[-0.6993734]
-2.999999999999998,[-0.6829088]
-2.999999999999998,[-0.6361992]
-4.000000000000001,[-0.66748405]
-4.000000000000001,[-0.6226472]
-5.0,[-0.6500569]
-5.0,[-0.61132795]
-5.999999999999999,[-0.5547859]
-5.999999999999999,[-0.6187068]
-6.999999999999998,[-0.58036375]
-6.999999999999998,[-0.5548563]
-7.999999999999998,[-0.5420212]
-7.999999999999998,[-0.51651275]
-9.000000000000002,[-0.50367814]
-9.000000000000002,[-0.4781702]
-10.0,[-0.4275197]
-10.0,[-0.46533513]
-11.0,[-0.43543553]
-11.0,[-0.42407522]
-11.999999999999998,[-0.40927038]
-11.999999999999998,[-0.42028347]
-11.999999999999998,[-0.39791098]
-7.999999999999998,[-0.49100527]
-4.000000000000001,[-0.581852]
0.0,[-0.63673896]
4.000000000000001,[-0.61488056]
7.999999999999998,[-0.5017667]
11.999999999999995,[-0.37721506]
11.999999999999995,[-0.3985775]
11.999999999999995,[-0.42895624]
-11.999999999999998,[-0.09320772]
-11.999999999999998,[-0.09952622]
-11.999999999999998,[-0.10898438]
-11.999999999999998,[-0.11399033]
-11.999999999999998,[-0.12127133]
-11.999999999999998,[-0.12855093]
-11.999999999999998,[-0.13583146]
-11.999999999999998,[-0.14311151]
-11.999999999999998,[-0.15039206]
-11.999999999999998,[-0.15767258]
-11.999999999999998,[-0.16560146]
-11.999999999999998,[-0.1745786]
-11.999999999999998,[-0.18355668]
