X,Y
10.000000000000005,[-0.35496658]
11.0,[-0.35040388]
11.0,[-0.37273675]
10.000000000000005,[-0.39689907]
9.000000000000002,[-0.4210614]
9.000000000000002,[-0.3985738]
7.999999999999998,[-0.44522417]
7.999999999999998,[-0.42273703]
7.000000000000003,[-0.46938697]
7.000000000000003,[-0.44689888]
5.999999999999999,[-0.44729227]
5.999999999999999,[-0.49540576]
5.000000000000004,[-0.52185804]
5.000000000000004,[-0.49522445]
4.000000000000001,[-0.5461294]
4.000000000000001,[-0.5127383]
2.999999999999998,[-0.5638367]
2.999999999999998,[-0.5287675]
2.0000000000000027,[-0.5141291]
2.0000000000000027,[-0.5807884]
0.9999999999999992,[-0.59370786]
0.9999999999999992,[-0.5586303]
0.0,[-0.59479994]
0.0,[-0.55916214]
-0.9999999999999992,[-0.58952594]
-0.9999999999999992,[-0.5538886]
-1.9999999999999984,[-0.51523703]
-1.9999999999999984,[-0.58425295]
-2.999999999999998,[-0.57897896]
-2.999999999999998,[-0.5451329]
-4.000000000000001,[-0.5741954]
-4.000000000000001,[-0.53800386]
-5.0,[-0.5604537]
-5.0,[-0.5305951]
-5.999999999999999,[-0.47773114]
-5.999999999999999,[-0.5251203]
-6.999999999999998,[-0.4897869]
-6.999999999999998,[-0.46924573]
-7.999999999999998,[-0.45305005]
-7.999999999999998,[-0.43135107]
-9.000000000000002,[-0.41613188]
-9.000000000000002,[-0.3931269]
-10.0,[-0.35910323]
-10.0,[-0.38207838]
-11.0,[-0.3594477]
-11.0,[-0.34928432]
-11.999999999999998,[-0.3293006]
-11.999999999999998,[-0.3394649]
-11.999999999999998,[-0.3191377]
-7.999999999999998,[-0.40965164]
-4.000000000000001,[-0.50181186]
0.0,[-0.52361804]
4.000000000000001,[-0.48014975]
7.999999999999998,[-0.40024942]
11.999999999999995,[-0.32847002]
11.999999999999995,[-0.3376816]
11.999999999999995,[-0.34857395]
-11.999999999999998,[-0.06097344]
-11.999999999999998,[-0.0685807]
-11.999999999999998,[-0.07886247]
-11.999999999999998,[-0.08342142]
-11.999999999999998,[-0.08536834]
-11.999999999999998,[-0.08731665]
-11.999999999999998,[-0.0881272]
-11.999999999999998,[-0.08842877]
-11.999999999999998,[-0.08910742]
-11.999999999999998,[-0.09140857]
-11.999999999999998,[-0.09370972]
-11.999999999999998,[-0.09600994]
