X,Y
0.8,[-0.38824585]
0.8,[-0.3865707]
0.8,[-0.4090513]
0.8,[-0.43322155]
0.8,[-0.45738435]
0.8,[-0.43489578]
0.8,[-0.4832153]
0.8,[-0.45905903]
0.8,[-0.50977993]
0.8,[-0.48322183]
0.8,[-0.48489654]
0.8,[-0.5363455]
0.8,[-0.5629101]
0.8,[-0.53598374]
0.8,[-0.5872556]
0.8,[-0.55928195]
0.8,[-0.6111503]
0.8,[-0.57600754]
0.8,[-0.55526876]
0.8,[-0.6281859]
0.8,[-0.6350572]
0.8,[-0.5999802]
0.8,[-0.6407409]
0.8,[-0.60238713]
0.8,[-0.63431895]
0.8,[-0.59306836]
0.8,[-0.5473963]
0.8,[-0.6250001]
0.8,[-0.6154879]
0.8,[-0.5766107]
0.8,[-0.6053926]
0.8,[-0.56920105]
0.8,[-0.593713]
0.8,[-0.5617919]
0.8,[-0.51083654]
0.8,[-0.56063783]
0.8,[-0.52530396]
0.8,[-0.5038096]
0.8,[-0.4883154]
0.8,[-0.46487555]
0.8,[-0.45036435]
0.8,[-0.42692497]
0.8,[-0.38739708]
0.8,[-0.40966517]
0.8,[-0.38408217]
0.8,[-0.3728966]
0.8,[-0.3474241]
0.8,[-0.35841852]
0.8,[-0.336989]
0.8,[-0.44143614]
0.8,[-0.5330096]
0.8,[-0.56113654]
0.8,[-0.5242119]
0.8,[-0.43657142]
0.8,[-0.3421725]
0.8,[-0.3589578]
0.8,[-0.38122916]
0.8,[-0.07856789]
0.8,[-0.08555944]
0.8,[-0.09492392]
0.8,[-0.09684613]
0.8,[-0.09656274]
0.8,[-0.09641685]
0.8,[-0.09773638]
0.8,[-0.10003707]
0.8,[-0.10233776]
0.8,[-0.1046389]
0.8,[-0.10688645]
0.8,[-0.11172367]
0.8,[-0.1198045]
0.8,[-0.12788486]
0.8,[-0.13596569]
0.8,[-0.14404559]
0.8,[-0.15212642]
0.8,[-0.16016111]
0.8,[-0.16814685]
0.8,[-0.17613213]
0.8,[-0.1841188]
0.8,[-0.19210409]
0.8,[-0.20008983]
0.8,[-0.20501746]
0.8,[-0.2094818]
0.8,[-0.21487135]
0.8,[-0.22026137]
0.8,[-0.22565185]
0.8,[-0.2310414]
0.8,[-0.23643188]
0.8,[-0.24135579]
0.8,[-0.24564396]
0.8,[-0.2506047]
0.8,[-0.25653633]
0.8,[-0.26683813]
