X,Y
0.67,[-0.3367671]
0.67,[-0.3309716]
0.67,[-0.34018365]
0.67,[-0.36262417]
0.67,[-0.38858473]
0.67,[-0.3659419]
0.67,[-0.4140908]
0.67,[-0.39160368]
0.67,[-0.43825406]
0.67,[-0.415766]
0.67,[-0.41161022]
0.67,[-0.4624159]
0.67,[-0.4866076]
0.67,[-0.46045315]
0.67,[-0.507915]
0.67,[-0.47500536]
0.67,[-0.52394336]
0.67,[-0.48912457]
0.67,[-0.48072213]
0.67,[-0.5431254]
0.67,[-0.55826443]
0.67,[-0.52318734]
0.67,[-0.55542165]
0.67,[-0.51978344]
0.67,[-0.5501482]
0.67,[-0.516145]
0.67,[-0.4797335]
0.67,[-0.54487514]
0.67,[-0.5422361]
0.67,[-0.5090309]
0.67,[-0.53827184]
0.67,[-0.50408787]
0.67,[-0.52521354]
0.67,[-0.49747944]
0.67,[-0.43991712]
0.67,[-0.48785117]
0.67,[-0.44986236]
0.67,[-0.42816293]
0.67,[-0.4114965]
0.67,[-0.3928645]
0.67,[-0.38131678]
0.67,[-0.3615857]
0.67,[-0.3334783]
0.67,[-0.35321683]
0.67,[-0.3368319]
0.67,[-0.32673332]
0.67,[-0.30675054]
0.67,[-0.31691486]
0.67,[-0.29658717]
0.67,[-0.3747452]
0.67,[-0.46863186]
0.67,[-0.4875151]
0.67,[-0.44424722]
0.67,[-0.3691156]
0.67,[-0.30675194]
0.67,[-0.31596398]
0.67,[-0.3245706]
0.67,[-0.05841686]
0.67,[-0.06125076]
0.67,[-0.0671493]
0.67,[-0.06840312]
0.67,[-0.07028151]
0.67,[-0.07222889]
0.67,[-0.0741758]
0.67,[-0.07626069]
0.67,[-0.07839031]
0.67,[-0.0805204]
0.67,[-0.08236896]
0.67,[-0.08467012]
0.67,[-0.0869708]
0.67,[-0.08927242]
0.67,[-0.091272]
0.67,[-0.09323849]
0.67,[-0.09546133]
0.67,[-0.09812791]
0.67,[-0.10079589]
0.67,[-0.10329793]
0.67,[-0.10828383]
0.67,[-0.11636046]
0.67,[-0.12443663]
0.67,[-0.13251373]
0.67,[-0.14058991]
0.67,[-0.14866701]
0.67,[-0.15674317]
0.67,[-0.16481934]
0.67,[-0.1716496]
0.67,[-0.17720929]
0.67,[-0.18853886]
0.67,[-0.19986843]
0.67,[-0.21119799]
0.67,[-0.22189832]
0.67,[-0.23097987]
0.67,[-0.23964053]
0.67,[-0.24790363]
0.67,[-0.25577843]
0.67,[-0.26365465]
0.67,[-0.27152947]
0.67,[-0.27940473]
0.67,[-0.28728002]
0.67,[-0.2951553]
0.67,[-0.30303103]
0.67,[-0.3103302]
0.67,[-0.31739867]
0.67,[-0.32707962]
0.67,[-0.339278]
